element,f_bus,t_bus
d0b86178-1660-4548-8edf-587bc7541edb,2536a97c-93a6-40c2-bee9-b9286af3c78d,768e4132-0c7a-4336-a534-0a89d50f9f5c
353d8174-b374-4fdd-a8c6-9dd83fb996cd,2536a97c-93a6-40c2-bee9-b9286af3c78d,168a4ab5-1ebe-4413-8280-11fa0aec874b
31a845e4-b983-4ab5-a886-683ef3fcc25f,7d839960-d819-480a-81b4-bc569eb86cd9,7d055fe2-d18e-457e-842b-6dec36228529
beb91b23-dd04-45fc-865f-65d1d486bf5a,7d839960-d819-480a-81b4-bc569eb86cd9,4b850999-e312-4781-ad30-ded6970bddd5
3e1a457e-4667-4c2e-88c5-42f6658e90fe,ee4c21e5-7ac0-421c-a259-1a5c6ee1f074,984fd48f-758c-470b-88e3-fe19b3d9917d
e262419c-cbca-4223-b4c5-a4da2c83f137,7d839960-d819-480a-81b4-bc569eb86cd9,154ec544-94d1-4a1d-a98b-ac168c6888c2
adf62bd8-8dad-460b-9f5b-b43a929e6258,c69fd4c4-d142-4bbb-bbd1-6caceec1dbae,7d839960-d819-480a-81b4-bc569eb86cd9
a87e2f95-0a16-41b9-b516-7d53034f1542,f14dcae7-b3cb-477a-819a-628d94bc4b9d,7d839960-d819-480a-81b4-bc569eb86cd9
957de070-0aa6-457a-a231-ea05b9a7d9a9,eb8599e1-aaf8-45c5-88cf-833c1ee93168,4ad4ca3e-79b2-40f3-9a05-69b47e61f6df
6b611a82-8166-4d30-9f54-f9f825c68991,513aca61-dc6d-4b90-9d5a-84d3ab2fbb30,d2d8cffa-ff54-4d49-92a3-d8f5f001e8bd
4d8d8342-bca9-47ca-aa97-3b7115c9715f,d6d05d50-1333-4efc-b539-0b6f59613c4b,5fe27b8f-3041-4a41-8280-fcae1cf477bd
c28f09d4-41e3-44fe-b48f-c8de71beb22a,d6d05d50-1333-4efc-b539-0b6f59613c4b,cbb4f5f1-b3fc-49aa-8be5-61499affe20c
7f3c9570-16ad-4ce9-8a2f-34df7304cfb9,1a28dfd1-8d16-4968-8ec7-0118cf1ab5de,fc67afe8-4c24-4440-90b6-68f9b6d7e3ad
d94bd698-7b7e-4fec-a3d1-ce09121a5da3,a6b714dc-1f76-443f-a8ca-14712433ce28,4d0e72f4-ae3d-48a6-b054-900f9127ec7b
fa5f4cc9-f3fd-4ff8-9d28-063923fd24ee,cf05e457-8878-41da-ac65-0e7a66572aa0,9e69beca-2ea0-4c46-b7ba-cf7c989f520f
51ed5b71-13e4-4ad2-b196-66f088f48ebf,24923dd7-9186-4c1f-b6d9-0c95ab93e523,cb7ae2aa-028d-404e-ba6a-eddd62d4613d
8ad82434-0393-4ee0-b64d-9b5d8e0e3fb5,cf05e457-8878-41da-ac65-0e7a66572aa0,6ceeb2a3-a283-4308-a9ea-85812f93d267
29e6a02e-7a43-4916-9581-7e2560f7a437,2f91c9ed-6189-402e-8e39-032ad3a952fa,e67237fe-8b3c-47f6-bb85-f516ec3bdad3
dd12fba1-fc0e-4957-827c-44c6b2e27a02,c0d14868-c734-4464-b8ea-59c10112fde6,0311a2f8-08f9-454b-b487-d9777dfd76c1
cdbe96d9-b757-4864-9703-6021f66b1c79,ecb358cf-5bc9-4ef4-a064-a53dfed767d7,29c49acc-ad27-4497-9909-2cacc92218bb
4f2b2f89-c8a3-449c-bda4-393c51af3907,22b9b448-df33-4f72-a118-f640a8f1c1a1,4c6fd8c1-ed52-4e7b-b5a6-d9acd9b0a9cd
e4cee942-8b62-41c0-aa19-0b834d3a4cfe,cf05e457-8878-41da-ac65-0e7a66572aa0,1c250caa-8827-48f3-8218-c43afc5024d2
b0f34636-c8bc-46fe-ab1a-ec620ec0a0b7,cf05e457-8878-41da-ac65-0e7a66572aa0,33d9e91d-c283-44df-b15c-8f1b53e63dc5
c647f397-0725-4e54-9288-49c73fc88a5c,cf05e457-8878-41da-ac65-0e7a66572aa0,464aafbf-a93f-44fc-8a1c-eeaa7930f7d5
a32d70ef-5f8e-4f70-8ed8-631ae02e85f5,1d2c3827-8a04-40c5-a939-f8ba397f4899,995072bb-8a89-4582-b4e5-8f850b2830ba
8a6272bc-38b2-4e5e-8d0f-9f18aebc0f72,453cae4b-62e5-4e65-950d-91f9503cc890,811f3c85-c20e-4bdb-919d-5e1e59d1e485
90737a0a-7f5e-4889-b4af-24ca4edc2b11,e0668f24-30a6-4063-a1ab-de8118238bf5,5165f4f5-89ad-4902-b9dc-77f37c27cb75
542486cf-c911-49f9-afd7-c4fdf13ae40e,be7b12fd-d8ea-4708-9f54-56ec2e535a89,6cae937d-aa35-4c5a-9073-ce2d6b9ad639
3542e8bf-3cb6-49c6-a81b-c0cd6bfccd9b,be7b12fd-d8ea-4708-9f54-56ec2e535a89,f293c131-0c69-436a-b1dd-b0b47cbeea0d
2db7b294-b51c-400e-98bb-a1c7dbb73d3c,be7b12fd-d8ea-4708-9f54-56ec2e535a89,08757c3e-eca4-4276-9d75-b289df03962e
f701e653-68f6-424a-b7b5-4e247bfcbeb0,0ea1f18e-c324-4c5d-a93e-40aab447b413,3f6dca2f-f66c-40cd-868d-ed5438030947
25e9437a-83c9-4c2d-8366-5141c9b0242f,0ea1f18e-c324-4c5d-a93e-40aab447b413,c8cee6f7-8da4-4f41-a557-98fe374fb102
8ab77921-c495-4904-a25d-62fe63260e0c,0ea1f18e-c324-4c5d-a93e-40aab447b413,f23c4e01-723b-497c-9a22-94d5c350348f
2ee1e45b-b9ce-48b7-929d-f7cb8e0401c5,0ea1f18e-c324-4c5d-a93e-40aab447b413,800a9644-d963-4413-a526-d574ec8f839a
b8bbe2fe-a359-4c61-bd27-6e541e753156,0ea1f18e-c324-4c5d-a93e-40aab447b413,c9a68e37-fe86-4cae-879d-eb70fd5ac4c8
fd3c1864-7e6f-490e-8543-340910e8d463,0ea1f18e-c324-4c5d-a93e-40aab447b413,f292f1cd-0f49-410f-9c4a-90f299a0f373
d3bbd25f-8109-44ab-a528-7804503bbe2f,e8665b16-1b9b-41c4-8229-0cc33143b6a1,6184927a-150d-4131-817d-ff0f1cbb6732
dbf1b2e5-3d06-4f0d-8098-e985aa986e2a,e8665b16-1b9b-41c4-8229-0cc33143b6a1,5d5788af-f33c-4ef6-863e-a4d063df6c8b
45d729ce-dd5c-4724-a6b0-75606f98e833,f56d668f-9655-44e1-b2ad-394127b489c7,e04200af-9e51-4483-a08b-75b80b16d8c1
1ae74adc-c31f-45aa-b8a7-02f309394089,fc3ecfac-954e-4755-91c8-6715f27b7772,468e4a3a-fbb5-46de-9cd1-1b1469a66386
f528a7d8-c13a-4fd8-8b38-bf0c58b1582c,9dbb5350-21b5-4d13-bf34-4cf865cc7c83,ec6e6569-7fd3-422a-a1e2-fcdca01e65c6
f945614e-a01a-4a85-8423-c4fc39e1b57f,b9c06e8d-f6f9-4ccb-b1f7-effc45ad840c,7f5ff126-2ecf-4106-a51d-754ced510b55
d3aa6013-1f58-4053-8bbf-05389f36c844,73eb9ee5-1319-4df9-bac1-8c0b86d27a9e,1fb9e745-0d21-4c05-ae14-39a11dd2917a
9d2760da-141b-4766-a5fd-4e5c11ffe9f5,f82a8dd5-dbad-46e8-8744-a469ddf2a9a4,61e3279f-4bd7-4e7c-8a31-0e14c28912da
24adcc2b-834a-4001-b137-c3d7f3195169,4bb15071-5ee3-48af-bfce-fe4f6f64d4d3,36c78b2e-f85c-42e1-846d-06373e700a34
009078c7-7c88-4b7b-9a8b-90dc57f0dbe8,0a9cd5e1-3573-455c-a432-14fe5ec587c8,da6069ad-e5f6-451e-880c-e6741ffdb4d1
60d9023b-7c88-4d3c-982e-7e2ef360d53d,4bb15071-5ee3-48af-bfce-fe4f6f64d4d3,4cca5e8d-6052-4d45-a596-d135fb67e2e1
14239d8d-57a5-4a90-ac6f-1cbe5c526a90,4bb15071-5ee3-48af-bfce-fe4f6f64d4d3,e337b75e-95a8-4695-931e-626bc05fef04
e10c7886-941e-4a39-a54e-acebae23aae1,8ea910c4-280d-4499-af6b-ace67ee0aa50,3b3b1a10-b221-4875-8b93-63fc24d5054f
6b457ea6-a3b4-414b-83f8-c5a83a6fe10e,3a4b104d-8801-49f0-8a30-ea4485e0f452,d6d33d2b-972e-46ce-8403-ea74487a43e8
b3030970-2dcf-4a60-9a71-83f5ef690a20,02701724-420d-4d9f-a87f-ec7330c39036,500a9269-b908-4258-a68f-e34f5a79eeac
5a5c792f-5aee-47ca-a89c-bf981de88daa,49e56cb3-0ee4-44b2-bed7-a0cac4434456,1ab313a4-b29d-4b5f-82c6-0f16668120d3
1a4f6e86-1417-4557-b9b7-3caa62990d81,1ab313a4-b29d-4b5f-82c6-0f16668120d3,a9138a90-b4c0-4176-9f4d-efa7d2aade77
a1a98325-eafd-44ae-8257-d495db66c95e,4f26757a-b3ac-4d7c-bbb9-e1581f06f5a8,be2fa1f3-d36d-49a8-a9a2-22814e318032
b32b5d38-461f-4f70-b54b-8ca67b2be895,8fba35b9-7908-4c6a-8619-86dc9a3edc18,deae2457-2720-422e-bee8-5e49136ea495
bfdd26f3-1f18-4e4f-86d7-3691f8d17055,e250f138-e10d-483e-b9bf-40c23b2f4c76,44878da3-a4c6-4113-a14f-0bfc7204f55a
