;mean_temp
0;-6,773333333333334
1;-6,409999999999999
2;-7,42
3;-7,390000000000001
4;-7,639999999999999
5;-6,8533333333333335
6;-6,326666666666667
7;-6,043333333333333
8;-6,6899999999999995
9;-5,953333333333333
10;-4,913333333333333
11;-4,9399999999999995
12;-5,556666666666667
13;-5,543333333333333
14;-5,24
15;-4,639999999999999
16;-4,750000000000001
17;-5,709999999999999
18;-6,103333333333333
19;-5,373333333333333
20;-5,603333333333331
21;-7,006666666666666
22;-7,176666666666667
23;-6,246666666666668
24;-6,7733333333333325
25;-6,589999999999999
26;-6,146666666666665
27;-6,159999999999998
28;-5,549999999999999
29;-6,453333333333334
30;-7,2
