;sourceId;referenceTime;elementId;value;unit;timeOffset
0;SN12680:0;2015-01-01 00:00:00+00:00;mean(air_temperature P1D);-1,3;degC;PT0H
1;SN12680:0;2015-01-02 00:00:00+00:00;mean(air_temperature P1D);1,8;degC;PT0H
2;SN12680:0;2015-01-03 00:00:00+00:00;mean(air_temperature P1D);-3,4;degC;PT0H
3;SN12680:0;2015-01-04 00:00:00+00:00;mean(air_temperature P1D);-5,9;degC;PT0H
4;SN12680:0;2015-01-05 00:00:00+00:00;mean(air_temperature P1D);-6,7;degC;PT0H
5;SN12680:0;2015-01-06 00:00:00+00:00;mean(air_temperature P1D);-1,5;degC;PT0H
6;SN12680:0;2015-01-07 00:00:00+00:00;mean(air_temperature P1D);0,7;degC;PT0H
7;SN12680:0;2015-01-08 00:00:00+00:00;mean(air_temperature P1D);-1,5;degC;PT0H
8;SN12680:0;2015-01-09 00:00:00+00:00;mean(air_temperature P1D);-8,1;degC;PT0H
9;SN12680:0;2015-01-10 00:00:00+00:00;mean(air_temperature P1D);-8,4;degC;PT0H
10;SN12680:0;2015-01-11 00:00:00+00:00;mean(air_temperature P1D);-5,4;degC;PT0H
11;SN12680:0;2015-01-12 00:00:00+00:00;mean(air_temperature P1D);-8,7;degC;PT0H
12;SN12680:0;2015-01-13 00:00:00+00:00;mean(air_temperature P1D);-4,9;degC;PT0H
13;SN12680:0;2015-01-14 00:00:00+00:00;mean(air_temperature P1D);-8,6;degC;PT0H
14;SN12680:0;2015-01-15 00:00:00+00:00;mean(air_temperature P1D);-3,4;degC;PT0H
15;SN12680:0;2015-01-16 00:00:00+00:00;mean(air_temperature P1D);2,1;degC;PT0H
16;SN12680:0;2015-01-17 00:00:00+00:00;mean(air_temperature P1D);-1,7;degC;PT0H
17;SN12680:0;2015-01-18 00:00:00+00:00;mean(air_temperature P1D);-8,8;degC;PT0H
18;SN12680:0;2015-01-19 00:00:00+00:00;mean(air_temperature P1D);-8,3;degC;PT0H
19;SN12680:0;2015-01-20 00:00:00+00:00;mean(air_temperature P1D);-5,4;degC;PT0H
20;SN12680:0;2015-01-21 00:00:00+00:00;mean(air_temperature P1D);-4,0;degC;PT0H
21;SN12680:0;2015-01-22 00:00:00+00:00;mean(air_temperature P1D);-7,3;degC;PT0H
22;SN12680:0;2015-01-23 00:00:00+00:00;mean(air_temperature P1D);-13,0;degC;PT0H
23;SN12680:0;2015-01-24 00:00:00+00:00;mean(air_temperature P1D);-5,8;degC;PT0H
24;SN12680:0;2015-01-25 00:00:00+00:00;mean(air_temperature P1D);-8,2;degC;PT0H
25;SN12680:0;2015-01-26 00:00:00+00:00;mean(air_temperature P1D);-5,6;degC;PT0H
26;SN12680:0;2015-01-27 00:00:00+00:00;mean(air_temperature P1D);-7,7;degC;PT0H
27;SN12680:0;2015-01-28 00:00:00+00:00;mean(air_temperature P1D);-2,8;degC;PT0H
28;SN12680:0;2015-01-29 00:00:00+00:00;mean(air_temperature P1D);-0,3;degC;PT0H
29;SN12680:0;2015-01-30 00:00:00+00:00;mean(air_temperature P1D);-1,4;degC;PT0H
30;SN12680:0;2015-01-31 00:00:00+00:00;mean(air_temperature P1D);-2,2;degC;PT0H
31;SN12680:0;2015-02-01 00:00:00+00:00;mean(air_temperature P1D);-2,4;degC;PT0H
32;SN12680:0;2015-02-02 00:00:00+00:00;mean(air_temperature P1D);-5,1;degC;PT0H
33;SN12680:0;2015-02-03 00:00:00+00:00;mean(air_temperature P1D);-5,1;degC;PT0H
34;SN12680:0;2015-02-04 00:00:00+00:00;mean(air_temperature P1D);-7,5;degC;PT0H
35;SN12680:0;2015-02-05 00:00:00+00:00;mean(air_temperature P1D);-11,3;degC;PT0H
36;SN12680:0;2015-02-06 00:00:00+00:00;mean(air_temperature P1D);-8,4;degC;PT0H
37;SN12680:0;2015-02-07 00:00:00+00:00;mean(air_temperature P1D);-3,6;degC;PT0H
38;SN12680:0;2015-02-08 00:00:00+00:00;mean(air_temperature P1D);-1,6;degC;PT0H
39;SN12680:0;2015-02-09 00:00:00+00:00;mean(air_temperature P1D);2,7;degC;PT0H
40;SN12680:0;2015-02-10 00:00:00+00:00;mean(air_temperature P1D);0,7;degC;PT0H
41;SN12680:0;2015-02-11 00:00:00+00:00;mean(air_temperature P1D);0,8;degC;PT0H
42;SN12680:0;2015-02-12 00:00:00+00:00;mean(air_temperature P1D);-4,1;degC;PT0H
43;SN12680:0;2015-02-13 00:00:00+00:00;mean(air_temperature P1D);-2,5;degC;PT0H
44;SN12680:0;2015-02-14 00:00:00+00:00;mean(air_temperature P1D);-3,2;degC;PT0H
45;SN12680:0;2015-02-15 00:00:00+00:00;mean(air_temperature P1D);-2,3;degC;PT0H
46;SN12680:0;2015-02-16 00:00:00+00:00;mean(air_temperature P1D);-3,3;degC;PT0H
47;SN12680:0;2015-02-17 00:00:00+00:00;mean(air_temperature P1D);0,7;degC;PT0H
48;SN12680:0;2015-02-18 00:00:00+00:00;mean(air_temperature P1D);0,9;degC;PT0H
49;SN12680:0;2015-02-19 00:00:00+00:00;mean(air_temperature P1D);4,1;degC;PT0H
50;SN12680:0;2015-02-20 00:00:00+00:00;mean(air_temperature P1D);3,5;degC;PT0H
51;SN12680:0;2015-02-21 00:00:00+00:00;mean(air_temperature P1D);-2,7;degC;PT0H
52;SN12680:0;2015-02-22 00:00:00+00:00;mean(air_temperature P1D);-5,9;degC;PT0H
53;SN12680:0;2015-02-23 00:00:00+00:00;mean(air_temperature P1D);-1,0;degC;PT0H
54;SN12680:0;2015-02-24 00:00:00+00:00;mean(air_temperature P1D);1,2;degC;PT0H
55;SN12680:0;2015-02-25 00:00:00+00:00;mean(air_temperature P1D);1,3;degC;PT0H
56;SN12680:0;2015-02-26 00:00:00+00:00;mean(air_temperature P1D);0,9;degC;PT0H
57;SN12680:0;2015-02-27 00:00:00+00:00;mean(air_temperature P1D);1,6;degC;PT0H
58;SN12680:0;2015-02-28 00:00:00+00:00;mean(air_temperature P1D);0,2;degC;PT0H
59;SN12680:0;2015-03-01 00:00:00+00:00;mean(air_temperature P1D);1,3;degC;PT0H
60;SN12680:0;2015-03-02 00:00:00+00:00;mean(air_temperature P1D);2,0;degC;PT0H
