f_bus;t_bus;circuit_breaker;disconnector_closed
1;2;True;True
1;2;False;True
2;1;False;True
2;3;False;True
13;9;False;True
13;14;False;True
18;16;False;True
18;19;False;True
21;19;False;True
21;22;False;True
28;27;False;True
28;29;False;True
31;30;False;True
31;32;False;True
34;33;False;True
34;35;False;True
36;35;False;False
40;37;False;True
40;41;False;True
40;42;False;True
109;42;False;True
109;110;False;True
44;42;False;True
44;45;False;True
46;45;False;True
46;47;False;True
47;46;False;True
47;48;False;True
47;49;False;True
49;47;False;True
49;50;False;True
49;52;False;True
55;54;False;True
55;56;False;True
62;61;False;False
67;48;False;True
67;68;False;True
68;67;False;True
68;69;False;True
69;68;False;True
69;70;False;True
70;69;False;True
70;71;False;True
73;72;False;True
73;74;False;True
103;102;False;True
103;104;False;True
80;79;False;True
80;81;False;True
88;87;False;False
100;101;False;True
92;86;False;True
92;93;False;True
