ID;type;Pd;Qd;Gs;Bs;area_num;Vm;Va;baseKV;zone;max_Vm;min_Vm
1;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
2;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
3;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
4;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
5;1;5.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
6;1;4.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
7;1;3.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
8;1;2.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
9;3;0.0;0.0;100.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
90;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
91;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
11;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
21;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
31;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
41;1;0.0;0.0;0.0;0.0;1;1.0;0.0;240.0;1;1.1;0.9
