ID;f_bus;t_bus;repairTime;temporaryFaultFrequency;permanentFaultFrequency;sectioningTime;temporaryFaultTime;capacity
1;90;91;0.0;0.0;0.0;0.5;0.000;10
2;91;1;4.0;0.01;0.2;0.0;0.002;10
3;1;10;0;0.0;0.0;0.5;0.0;10
4;1;11;0;0.0;0.0;0.5;0.0;10
5;11;5;2.0;0.01;0.2;0.0;0.002;10
6;10;2;4.0;0.01;0.1;0.0;0.002;10
7;2;20;0;0.0;0.0;0.5;0.0;10
8;2;21;0;0.0;0.0;0.5;0.0;10
9;21;6;2.0;0.01;0.6;0.0;0.002;10
10;20;3;4.0;0.01;0.3;0.0;0.002;10
11;3;30;0;0.0;0.0;0.5;0.0;10
12;3;31;0;0.0;0.0;0.5;0.0;10
13;31;7;2.0;0.01;0.4;0.0;0.002;10
14;30;4;4.0;0.01;0.2;0.0;0.002;10
15;4;41;0;0.0;0.0;0.5;0.0;10
16;41;8;2.0;0.01;0.2;0.0;0.002;10
17;9;90;0;0.0;0.0;0.0;0.0;10
