ID;f_bus;t_bus;repairTime;temporaryFaultFrequency;permanentFaultFrequency;sectioningTime;temporaryFaultTime;capacity
1;90;91;0.0;0.0;0.0;0.5;0.0;10
2;91;1;4.0;0.01;0.2;0.0;0.002;10
3;1;11;0.0;0.0;0.0;0.5;0.0;10
4;11;5;2.0;0.01;0.2;0.0;0.002;10
5;1;2;4.0;0.01;0.1;0.0;0.002;10
6;2;21;0.0;0.0;0.0;0.5;0.0;10
7;21;6;2.0;0.01;0.6;0.0;0.002;10
8;2;3;4.0;0.01;0.3;0.0;0.002;10
9;3;31;0.0;0.0;0.0;0.5;0.0;10
10;31;7;2.0;0.01;0.4;0.0;0.002;10
11;3;4;4.0;0.01;0.2;0.0;0.002;10
12;4;41;0.0;0.0;0.0;0.5;0.0;10
13;41;8;2.0;0.01;0.2;0.0;0.002;10
14;9;90;0.0;0.0;0.0;0.0;0.0;10
