f_bus,t_bus,br_r,br_x,br_b,rateA,rateB,rateC,tap,shift,br_status
1,2,0.001661672,0.002392807,0.002934925899312567,17.71887976,0.0,0.0,0.0,0.0,1.0
2,3,0.0034299490000000003,0.003596592,0.005775850518364778,15.242047110000001,0.0,0.0,0.0,0.0,1.0
3,4,0.000904929,0.000527143,0.000743559473395618,11.812586510000001,0.0,0.0,0.0,0.0,1.0
3,5,0.012620379000000001,0.008047704999999999,0.001005174367256233,10.936168799999999,0.0,0.0,0.0,0.0,1.0
5,6,0.00091722,0.000422756,9.759997516494921e-6,8.95470268,0.0,0.0,0.0,0.0,1.0
6,7,0.038339948,0.010577478,0.0022024270081068458,3.08651454,0.0,0.0,0.0,0.0,1.0
5,8,0.005145026,0.003229856,7.960004590738055e-5,10.936168799999999,0.0,0.0,0.0,0.0,1.0
8,9,0.004864072,0.003053484,7.525333292714253e-5,10.936168799999999,0.0,0.0,0.0,0.0,1.0
9,10,0.007399315,0.003410418,7.873497745771313e-5,8.95470268,0.0,0.0,0.0,0.0,1.0
10,11,0.003903016,0.001464085,0.0017948995811889476,9.14522826,0.0,0.0,0.0,0.0,1.0
9,12,0.023358444,0.014663563000000001,0.0003613846100534726,10.936168799999999,0.0,0.0,0.0,0.0,1.0
12,13,0.0074614519999999995,0.0034439690000000003,9.274096390388596e-5,8.95470268,0.0,0.0,0.0,0.0,1.0
12,14,0.003728283,0.002340478,5.7681243584717865e-5,10.936168799999999,0.0,0.0,0.0,0.0,1.0
14,15,0.005780752,0.003628942,8.94355294957075e-5,10.936168799999999,0.0,0.0,0.0,0.0,1.0
15,16,0.008947076,0.005616642,0.00013842255808558068,10.936168799999999,0.0,0.0,0.0,0.0,1.0
16,17,0.005780752,0.003628942,8.94355294957075e-5,10.936168799999999,0.0,0.0,0.0,0.0,1.0
