ID,bus,type,c_NOK_per_kWh_1h,c_NOK_per_kWh_4h,P,nfc
L1,2,residential,57.336394027094194,50.138846691778106,0.077479408,false
L2,4,residential,83.62751438756784,73.12959236870293,0.186032156,false
L3,6,public,71.37951317843287,62.419106204970014,0.29551181,false
L4,7,residential,60.12244804162071,52.575162010864055,0.296369037,false
L5,8,residential,59.92170963696343,52.3996226825361,0.202089304,false
L6,10,residential,50.95481788546521,44.558362023247234,0.111655223,false
L7,13,residential,56.84302820611061,49.70741402704565,0.046128009,false
L8,14,residential,73.23977304105894,64.04584408484088,0.054436733,false
L9,15,residential,74.44330536951229,65.09829469546712,0.276548514,false
L10,16,commercial,53.99491484040159,47.216829785968194,0.00078442,false
