f_bus,t_bus,permanentFaultFrequency,temporaryFaultFrequency,repairTime,temporaryFaultTime,sectioning_time
1,2,0.01151684923136,0.00109377897728,5.0,0.02,0.5
2,3,0.02377256492512,0.00225772962976,5.0,0.02,0.5
3,4,0.003805797516699029,0.0003614444568932039,5.0,0.02,0.5
3,5,0.048717968996640784,0.04982706945663925,5.0,0.02,0.5
5,6,0.0024342816872769003,0.0026611542878543447,3.0,0.02,0.5
6,7,0.06719534266001642,0.0630539320846256,5.0,0.02,0.5
5,8,0.018165630062033308,0.01985864848091299,3.0,0.02,0.5
8,9,0.01963761911307353,0.021467825428397768,3.0,0.02,0.5
9,10,0.01057125239333276,0.0010039736909869103,5.0,0.02,0.5
8,11,0.08723572606012443,0.09536600783398994,3.0,0.02,0.5
11,12,0.019804115236227514,0.021569572354441253,5.0,0.02,0.5
11,13,0.013923850170097759,0.015221538976882689,3.0,0.02,0.5
13,14,0.021589113465499517,0.023601197088228696,3.0,0.02,0.5
14,15,0.033414240733462976,0.03652841430308044,3.0,0.02,0.5
15,16,0.021589113465499517,0.023601197088228696,3.0,0.02,0.5
