ID,type,Pd,Qd,Gs,Bs,bus_area,Vm,Va,base_kV,zone,Vmax,Vmin
1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,1.06,0.94
2,1,0.102573285,0.033712762,0.0,0.0,0.0,0.9984669123974033,-0.07331692848212505,22.0,0.0,1.06,0.94
3,1,0.0,0.0,0.0,0.0,0.0,0.9975271624836842,-0.11817099357053565,22.0,0.0,1.06,0.94
4,1,0.0,0.0,0.0,0.0,0.0,0.9959849754999263,-0.160846999954147,22.0,0.0,1.06,0.94
5,1,0.0,0.0,0.0,0.0,0.0,0.9956016708709486,-0.17142933607639665,22.0,0.0,1.06,0.94
6,1,0.312282822,0.102637995,0.0,0.0,0.0,0.9959513639195839,-0.16128063629948608,22.0,0.0,1.06,0.94
7,1,0.0,0.0,0.0,0.0,0.0,0.9929411002681454,-0.2166183839601726,22.0,0.0,1.06,0.94
8,1,0.070066843,0.023028869,0.0,0.0,0.0,0.9956015650110186,-0.17143081437871896,22.0,0.0,1.06,0.94
9,1,0.0,0.0,0.0,0.0,0.0,0.991478196389837,-0.2416577787909984,22.0,0.0,1.06,0.94
10,1,0.077479408,0.025465157,0.0,0.0,0.0,0.992941096587633,-0.2166184912667548,22.0,0.0,1.06,0.94
11,1,0.054436733,0.017891721,0.0,0.0,0.0,0.992941095212866,-0.2166185313485508,22.0,0.0,1.06,0.94
12,1,0.0,0.0,0.0,0.0,0.0,0.9871092793611884,-0.3163140306088749,22.0,0.0,1.06,0.94
13,1,0.069716613,0.022913759,0.0,0.0,0.0,0.9914613995560986,-0.24183408944644552,22.0,0.0,1.06,0.94
14,1,0.044766026,0.01471325,0.0,0.0,0.0,0.9914466931120565,-0.2419942098760802,22.0,0.0,1.06,0.94
15,1,0.034603003,0.011372969,0.0,0.0,0.0,0.9914781941454739,-0.24165784432270923,22.0,0.0,1.06,0.94
16,1,0.0,0.0,0.0,0.0,0.0,0.9870809931785592,-0.3166253677502132,22.0,0.0,1.06,0.94
17,1,0.083955294,0.027593586,0.0,0.0,0.0,0.9870806929344844,-0.3166296594474063,22.0,0.0,1.06,0.94
